Angles	Fields	Field before	Fields after	Frequency	Magnitude	Phase	Real	Imaginary
-2.80000000E+1	4.30000000E-2	4.44684112E-2	4.44859952E-2	2.43025920E+9	-8.43185529E+1	-2.77871155E+0	-5.68626761E-5	-2.15905153E-5
-2.80000000E+1	4.35000000E-2	4.49581745E-2	4.49747168E-2	2.43025920E+9	-8.43025554E+1	-2.77354182E+0	-5.68549174E-5	-2.19245329E-5
-2.80000000E+1	4.40000000E-2	4.54502405E-2	4.54688769E-2	2.43025920E+9	-8.43038768E+1	-2.77731962E+0	-5.69286767E-5	-2.17062878E-5
-2.80000000E+1	4.45000000E-2	4.59429703E-2	4.59603042E-2	2.43025920E+9	-8.43580224E+1	-2.77292154E+0	-5.64794825E-5	-2.18200091E-5
-2.80000000E+1	4.50000000E-2	4.64376785E-2	4.64535460E-2	2.43025920E+9	-8.43240877E+1	-2.77741078E+0	-5.67983395E-5	-2.16506618E-5
-2.80000000E+1	4.55000000E-2	4.69261071E-2	4.69446048E-2	2.43025920E+9	-8.43096279E+1	-2.77224158E+0	-5.67801101E-5	-2.19805345E-5
-2.80000000E+1	4.60000000E-2	4.74181828E-2	4.74347890E-2	2.43025920E+9	-8.42958447E+1	-2.77652031E+0	-5.69639603E-5	-2.17719085E-5
-2.80000000E+1	4.65000000E-2	4.79067435E-2	4.79265326E-2	2.43025920E+9	-8.43578917E+1	-2.77466277E+0	-5.65182411E-5	-2.17219594E-5
-2.80000000E+1	4.70000000E-2	4.84071379E-2	4.84198643E-2	2.43025920E+9	-8.43233482E+1	-2.78550532E+0	-5.69765796E-5	-2.11920048E-5
-2.80000000E+1	4.75000000E-2	4.88811951E-2	4.89059548E-2	2.43025920E+9	-8.43448171E+1	-2.77761907E+0	-5.66674460E-5	-2.15872501E-5
-2.80000000E+1	4.80000000E-2	4.93832092E-2	4.93987985E-2	2.43025920E+9	-8.43040159E+1	-2.77316622E+0	-5.68371211E-5	-2.19421963E-5
-2.80000000E+1	4.85000000E-2	4.98607941E-2	4.98860753E-2	2.43025920E+9	-8.43212689E+1	-2.77687071E+0	-5.68050696E-5	-2.16883710E-5
-2.80000000E+1	4.90000000E-2	5.03633084E-2	5.03790977E-2	2.43025920E+9	-8.43996221E+1	-2.76891123E+0	-5.61220910E-5	-2.19409986E-5
-2.80000000E+1	4.95000000E-2	5.08562856E-2	5.08701973E-2	2.43025920E+9	-8.43222371E+1	-2.77484154E+0	-5.67546167E-5	-2.18011629E-5
